buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
289000;2939;Vilnius, Visoriai, Visorių g.;98.32;3
239000;4476;Palanga, Palanga, Vaivorykštės g.;53.4;3
195000;4875;Palanga, Palanga, Hipodromo g.;40;2
165500;4769;Palanga, Palanga, Gintaro g.;34.7;2
216000;2962;Vilnius, Šnipiškės, Kalvarijų g.;72.93;3
255000;3468;Kaunas, Žaliakalnis, Varpo g.;73.54;3
36000;1590;Panevėžys, Centras, Ramygalos g.;22.64;1
700000;6542;Vilnius, Senamiestis, Rūdninkų g.;107;5
349000;3753;Vilnius, Antakalnis, Mildos g.;93;3
23900;373;Akmenės r. sav., Ventos m., Ventos g.;64;4
30000;621;Kauno r. sav., Pagynės k., Kikonių g.;48.3;2
62500;840;Šilutės m., Eglių g.;74.43;4
320000;5246;Klaipėda, Senamiestis, Bangų g.;61;3
150000;3000;Vilnius, Šnipiškės, Tuskulėnų g.;50;2
91000;2275;Alytus, Senamiestis, Nemuno g.;40;2
117900;3976;Vilnius, Bajorai, Bajorų kel.;29.65;1
56000;973;Klaipėdos r. sav., Dovilų mstl., Klaipėdos g.;57.57;3
147000;2070;Palanga, Palanga, Maironio g.;71;2
